graph_id,N,depth,seed,method,exp_value
N4_S6,4,5,6,tr_correct_sampling,12.6556
N4_S6,4,6,6,sv,14.745510028968987
N4_S6,4,6,6,tr_expectation,5.783681392669678
N4_S6,4,6,6,tr_sampling,14.072699546813965
N4_S6,4,6,6,tr_correct_sampling,14.337100000000001
N4_S6,4,7,6,sv,11.835089227059683
N4_S6,4,7,6,tr_expectation,3.590179443359375
N4_S6,4,7,6,tr_sampling,14.093799591064453
N4_S6,4,7,6,tr_correct_sampling,11.717600000000001
N4_S6,4,8,6,sv,14.758172853513653
N4_S6,4,8,6,tr_expectation,2.272930145263672
N4_S6,4,8,6,tr_sampling,14.110599517822266
N4_S6,4,8,6,tr_correct_sampling,14.497800000000002
N4_S6,4,9,6,sv,13.783632015073367
N4_S6,4,9,6,tr_expectation,1.1011805534362793
N4_S6,4,9,6,tr_sampling,13.959399223327637
N4_S6,4,9,6,tr_correct_sampling,12.5744
N4_S7,4,1,7,sv,28.005416332886252
N4_S7,4,1,7,tr_expectation,28.005380630493164
N4_S7,4,1,7,tr_sampling,24.93869972229004
N4_S7,4,1,7,tr_correct_sampling,27.9322
N4_S7,4,2,7,sv,18.77691990122621
N4_S7,4,2,7,tr_expectation,18.77687644958496
N4_S7,4,2,7,tr_sampling,17.248600006103516
N4_S7,4,2,7,tr_correct_sampling,18.651600000000002
N4_S7,4,3,7,sv,16.333500207453447
N4_S7,4,3,7,tr_expectation,16.3944091796875
N4_S7,4,3,7,tr_sampling,18.200899124145508
N4_S7,4,3,7,tr_correct_sampling,16.342000000000002
N4_S7,4,4,7,sv,19.21604361890833
N4_S7,4,4,7,tr_expectation,13.95536994934082
N4_S7,4,4,7,tr_sampling,18.63920021057129
N4_S7,4,4,7,tr_correct_sampling,17.099500000000003
N4_S7,4,5,7,sv,17.36948574165912
N4_S7,4,5,7,tr_expectation,11.081974983215332
N4_S7,4,5,7,tr_sampling,17.698699951171875
N4_S7,4,5,7,tr_correct_sampling,16.2695
N4_S7,4,6,7,sv,14.643782845111337
N4_S7,4,6,7,tr_expectation,4.63323450088501
N4_S7,4,6,7,tr_sampling,18.396900177001953
N4_S7,4,6,7,tr_correct_sampling,18.5237
N4_S7,4,7,7,sv,16.90707921759226
N4_S7,4,7,7,tr_expectation,3.992647886276245
N4_S7,4,7,7,tr_sampling,18.59709930419922
N4_S7,4,7,7,tr_correct_sampling,20.055
N4_S7,4,8,7,sv,18.194524071480544
N4_S7,4,8,7,tr_expectation,2.068544864654541
N4_S7,4,8,7,tr_sampling,18.786800384521484
N4_S7,4,8,7,tr_correct_sampling,21.6721
N4_S7,4,9,7,sv,17.641632996488703
N4_S7,4,9,7,tr_expectation,1.1185060739517212
N4_S7,4,9,7,tr_sampling,18.427900314331055
N4_S7,4,9,7,tr_correct_sampling,18.8906
N4_S8,4,1,8,sv,13.371543891642064
N4_S8,4,1,8,tr_expectation,13.37151050567627
N4_S8,4,1,8,tr_sampling,10.383099555969238
N4_S8,4,1,8,tr_correct_sampling,13.3796
N4_S8,4,2,8,sv,11.379046929730624
N4_S8,4,2,8,tr_expectation,11.379091262817383
N4_S8,4,2,8,tr_sampling,11.334699630737305
N4_S8,4,2,8,tr_correct_sampling,11.3702
N4_S8,4,3,8,sv,12.329006204479777
N4_S8,4,3,8,tr_expectation,12.329318046569824
N4_S8,4,3,8,tr_sampling,11.373799324035645
N4_S8,4,3,8,tr_correct_sampling,12.3347
N4_S8,4,4,8,sv,11.548965199875509
N4_S8,4,4,8,tr_expectation,7.6941986083984375
N4_S8,4,4,8,tr_sampling,11.740599632263184
N4_S8,4,4,8,tr_correct_sampling,10.991100000000001
N4_S8,4,5,8,sv,11.39973639283659
N4_S8,4,5,8,tr_expectation,5.338934421539307
N4_S8,4,5,8,tr_sampling,11.631599426269531
