run_id,method,N,depth,seed,theta_path,iter_csv
2ca0dbf7,tr_efficient,16,1,1,bench_tsp_4816/theta_2ca0dbf7.pt,bench_tsp_4816/iter_2ca0dbf7.csv
5ab1048c,tr_correct_sampling,16,1,2,bench_tsp_4816/theta_5ab1048c.pt,bench_tsp_4816/iter_5ab1048c.csv
a57e02d8,tr_efficient,16,1,2,bench_tsp_4816/theta_a57e02d8.pt,bench_tsp_4816/iter_a57e02d8.csv
30a562ac,tr_correct_sampling,16,3,0,bench_tsp_4816/theta_30a562ac.pt,bench_tsp_4816/iter_30a562ac.csv
66fccdd4,tr_efficient,16,3,0,bench_tsp_4816/theta_66fccdd4.pt,bench_tsp_4816/iter_66fccdd4.csv
a170b536,tr_correct_sampling,16,3,1,bench_tsp_4816/theta_a170b536.pt,bench_tsp_4816/iter_a170b536.csv
0e483997,tr_efficient,16,3,1,bench_tsp_4816/theta_0e483997.pt,bench_tsp_4816/iter_0e483997.csv
926d832c,tr_correct_sampling,16,3,2,bench_tsp_4816/theta_926d832c.pt,bench_tsp_4816/iter_926d832c.csv
9b9611e4,tr_efficient,16,3,2,bench_tsp_4816/theta_9b9611e4.pt,bench_tsp_4816/iter_9b9611e4.csv
35b5275e,tr_correct_sampling,16,5,0,bench_tsp_4816/theta_35b5275e.pt,bench_tsp_4816/iter_35b5275e.csv
3e71e094,tr_efficient,16,5,0,bench_tsp_4816/theta_3e71e094.pt,bench_tsp_4816/iter_3e71e094.csv
39514fad,tr_correct_sampling,16,5,1,bench_tsp_4816/theta_39514fad.pt,bench_tsp_4816/iter_39514fad.csv
569a0e42,tr_efficient,16,5,1,bench_tsp_4816/theta_569a0e42.pt,bench_tsp_4816/iter_569a0e42.csv
daa5ef8f,tr_correct_sampling,16,5,2,bench_tsp_4816/theta_daa5ef8f.pt,bench_tsp_4816/iter_daa5ef8f.csv
f3c5fb80,tr_efficient,16,5,2,bench_tsp_4816/theta_f3c5fb80.pt,bench_tsp_4816/iter_f3c5fb80.csv
feb450c2,tr_correct_sampling,25,1,0,bench_tsp_4816/theta_feb450c2.pt,bench_tsp_4816/iter_feb450c2.csv
